component,anomaly_score
ER_0_59090795,0.909090909
TPS4,0.535714286
totalMsg4,0.517241379
totalSucc4,0.448275862
hwCCRUpdate2,0.428571429
hwCCAUpdate2,0.428571429
ER_118010161_1212,0.31372549
iowait,0
busy,0
hwCCRInit2,0
hwCCAInit2,0
hwCCRTerm2,0
hwCCATerm2,0
hwCCREvent4,0
hwCCAEvent4,0
totalFail4,0
Caps4,0
AverageTime,0
MaxDelays,0
ER_412020474_0,0
ER_412020002_52442,0
ER_118010103_02,0
ER_118013201_25286,0
hwCCREvent3,0
hwCCAEvent3,0
totalMsg3,0
totalFail3,0
totalSucc3,0
TPS3,0
Caps3,0
AverageTime(ms)3,0
MaxDelays(ms)3,0
E_OnlineVoiceEvent,0
E_OnlineGprsEvent,0
DiamBalanceQueryEvent,0
hwCCREvent2,0
hwCCAEvent2,0
totalMsg2,0
totalFail2,0
totalSucc2,0
TPS2,0
Caps2,0
AverageTime(ms)2,0
MaxDelays(ms)2,0
ER_118013105_536,0
ER_118013107_145,0
ER_0_221059,0
ER_118010202_51548,0
ER_118013201_1012,0
ER_118010106_0,0
ER_118013013_5101,0
SuccessRate(%),0
hwCCRInit,0
hwCCAInit,0
hwCCRUpdate,0
hwCCAUpdate,0
hwCCRTerm,0
hwCCATerm,0
hwCCREvent,0
hwCCAEvent,0
totalMsg,0
totalFail,0
totalSucc,0
TPS,0
Caps,0
AverageTime(ms),0
MaxDelays(ms),0
ER_118013972_9123,0
ER_118013105_21604,0
ER_118013106_248,0
ER_118013107_0,0
ER_412020002_0,0
ER_0_4983593,0
ER_118010103_0,0
ER_118010202_141586,0
ER_118013201_2323,0
ER_118013004_8,0
ER_412220053_0,0
ER_118010106_159,0
ER_118013013_0,0
SuccessRate,0
time: 10.5,
